,Unnamed: 0,Event,Time,Port,Vessel,VesselType
0,0,Departure,2019-12-08 15:31,AMSTERDAM,JAN VAN DER HEYDE 4 [NL],passenger
1,1,Arrival,2019-12-08 15:31,CALETA PUELCHE,DON BETO [CL],passenger
2,2,Arrival,2019-12-08 15:31,VAXHOLM,VAXO [SE],passenger
3,3,Arrival,2019-12-08 15:31,ROTTERDAM CENTRUM,PHW 1 [NL],passenger
4,4,Arrival,2019-12-08 15:31,RAS LAFFAN,NOR SPRING [QA],tug
5,5,Arrival,2019-12-08 15:31,SLOVAG,MELDERSKIN [NO],passenger
6,6,Arrival,2019-12-08 15:31,FREEPORT (TX),LEXIE M [US],tug
7,7,Arrival,2019-12-08 15:31,GOOD HOPE,CAPT. LANCE DRAGON [US],yacht
8,8,Arrival,2019-12-08 15:31,NEW ORLEANS,JOYCE MAXINE [US],tug
9,9,Arrival,2019-12-08 15:31,TYNE,CHERRY SAND [GB],tug
10,10,Arrival,2019-12-08 15:31,OSTERMOOR,FAEHRE STETTIN [DE],passenger
11,11,Arrival,2019-12-08 15:31,PATILLOS,IYO SEA [CL],cargo
12,12,Departure,2019-12-08 15:31,ROTTERDAM CENTRUM,MSTX 15 [NL],undefined
13,13,Departure,2019-12-08 15:31,ANDERSON ISLAND,CHRISTINE ANDERSON [US],passenger
14,14,Arrival,2019-12-08 15:31,ST PETERSBURG,BALTIC CARRIER [RU],cargo
15,15,Arrival,2019-12-08 15:31,QUIBERON,VINDILIS [FR],passenger
16,16,Arrival,2019-12-08 15:31,SHIJING,AO HE [CN],cargo
17,17,Departure,2019-12-08 15:31,FURUSUND,FRIDA [SE],passenger
18,18,Departure,2019-12-08 15:31,BRATTVAG,DRYNA [NO],passenger
19,19,Arrival,2019-12-08 15:31,BIRKENHEAD,SNOWDROP [GB],passenger
20,20,Arrival,2019-12-08 15:31,HALS,EGENSE [DK],passenger
21,21,Arrival,2019-12-08 15:31,KRIMPEN,VLIJ [NL],passenger
22,22,Arrival,2019-12-08 15:31,WEIL AM RHEIN,RHYSTAERN [DE],passenger
23,23,Departure,2019-12-08 15:31,BANJUL,KUNTA KINTEH [GM],passenger
24,24,Departure,2019-12-08 15:31,BRUNSBUETTEL,FAEHRE STETTIN [DE],passenger
25,25,Arrival,2019-12-08 15:31,MONDORF,WSP 8 [DE],undefined
26,26,Arrival,2019-12-08 15:31,ENGENES,SOLLIFJELL [NO],high speed
27,27,Arrival,2019-12-08 15:31,NASSIT,COASTAL ATLAS [SL],tug
28,28,Departure,2019-12-08 15:31,PORTSMOUTH,ISLAND FLYER [GB],high speed
29,29,Arrival,2019-12-08 15:31,HAIKOU,HAI KOU 16 HAO [CN],passenger
30,30,Departure,2019-12-08 15:31,MEMPHIS,LUCY WEPFER [US],tug
31,31,Departure,2019-12-08 15:31,WAALWIJK,BERGSCHE MAAS 12 [NL],passenger
32,32,Departure,2019-12-08 15:31,TROMSO,HAVBRYN [NO],undefined
33,33,Arrival,2019-12-08 15:31,BOTLEK - ROTTERDAM,PATRIJS [NL],cargo
34,34,Arrival,2019-12-08 15:31,PIRAEUS,CSCL STAR [GR],cargo
35,35,Arrival,2019-12-08 15:31,HUNTERS QUAY,SOUND OF SEIL [GB],passenger
36,36,Arrival,2019-12-08 15:31,ST LOUIS,TOM BEHRINGER [US],tug
37,37,Departure,2019-12-08 15:31,PORT EVERGLADES,PILOT NO 7 [US],tug
38,38,Departure,2019-12-08 15:31,MAASVLAKTE - ROTTERDAM,PALOMINO [NL],cargo
39,39,Departure,2019-12-08 15:31,HOUSTON,BRITISH RESOURCE [US],tanker
40,40,Arrival,2019-12-08 15:31,LE HAVRE,ATLANTIS ALDABRA00 [FR],tanker
41,41,Arrival,2019-12-08 15:31,DORDRECHT,DONATA [NL],cargo
42,42,Departure,2019-12-08 15:31,MERAK,KM.TITIAN MURNI [ID],passenger
43,43,Departure,2019-12-08 15:31,SINGAPORE,GOLDEN GRACE [SG],tanker
44,44,Departure,2019-12-08 15:31,LE HAVRE,LE HAVRE PILOT SC [FR],tug
45,45,Arrival,2019-12-08 15:31,HALS,FN339 SOFIA [DK],fishing
46,46,Departure,2019-12-08 15:31,LE HAVRE,LAURA H [FR],tanker
47,47,Arrival,2019-12-08 15:30,KIEL,LISA [DE],cargo
48,48,Arrival,2019-12-08 15:30,ROTTERDAM,VALBURG [NL],tanker
49,49,Arrival,2019-12-08 15:30,NIEHL,LEVANA [DE],yacht
50,50,Arrival,2019-12-08 15:30,CUMBRAE SLIP,LOCH SHIRA [GB],passenger
51,51,Arrival,2019-12-08 15:30,DELAWARE CITY,SEADELTA [US],tanker
52,52,Departure,2019-12-08 15:30,VILLA SAN GIOVANNI,STRETTO MESSINA [IT],passenger
53,53,Arrival,2019-12-08 15:30,BOSTON,NANCY [US],passenger
54,54,Arrival,2019-12-08 15:30,FUJAIRAH,EASTERN VETRI [AE],tug
55,55,Arrival,2019-12-08 15:30,DELFSHAVEN,AQUA SHUTTLE [NL],passenger
56,56,Departure,2019-12-08 15:30,HORTEN,VEDEROY [NO],passenger
57,57,Arrival,2019-12-08 15:30,CAPE TOWN,SERENITY ONE [ZA],passenger
58,58,Departure,2019-12-08 15:30,HELSINKI,SUOMENLINNA II [FI],passenger
59,59,Arrival,2019-12-08 15:30,PARKHAVEN,MSTX 14 [NL],high speed
60,60,Arrival,2019-12-08 15:30,ROSEAU,SUNNYDAY [DM],high speed
61,61,Arrival,2019-12-08 15:30,KILBOGHAMN,RODOY [NO],passenger
62,62,Arrival,2019-12-08 15:30,KOELN,LORELEY [DE],passenger
63,63,Departure,2019-12-08 15:30,PROCIDA ,NAIADE [IT],passenger
64,64,Arrival,2019-12-08 15:30,MERAK,SMS MULAWARMAN [ID],passenger
65,65,Arrival,2019-12-08 15:30,GLADSTONE,SL QUOIN ISLAND [AU],tug
66,66,Departure,2019-12-08 15:30,KREFELD,VOLANTIS [DE],tanker
67,67,Departure,2019-12-08 15:30,TREMESTIERI,ZANCLE [IT],passenger
68,68,Departure,2019-12-08 15:30,BONNY,SMIT DIARE [NG],tug
69,69,Departure,2019-12-08 15:30,ISLA MUJERES,ULTRACARGA III A [MX],cargo
70,70,Arrival,2019-12-08 15:30,KNIPPLA,ULRIKA [SE],passenger
71,71,Departure,2019-12-08 15:30,SINGAPORE,STK2 [SG],yacht
72,72,Arrival,2019-12-08 15:30,EMDEN,KEY BORA [DE],tanker
73,73,Arrival,2019-12-08 15:30,WANSSUM,BALANCE [NL],cargo
74,74,Departure,2019-12-08 15:30,MANNHEIM,TILL [DE],tanker
75,75,Departure,2019-12-08 15:29,HORTEN,BASTO IV [NO],passenger
76,76,Departure,2019-12-08 15:29,ROTTERDAM CENTRUM,MSTX 14 [NL],high speed
77,77,Departure,2019-12-08 15:29,VINEYARD HAVEN,SHERIFF S-300 [US],tug
78,78,Departure,2019-12-08 15:29,WISCHHAFEN,ERNST STURM [DE],passenger
79,79,Arrival,2019-12-08 15:29,ROTTERDAM CENTRUM,MSTX 12 [NL],high speed
80,80,Departure,2019-12-08 15:29,PORT HARDY,GEEMIA JOYE [CA],fishing
81,81,Arrival,2019-12-08 15:29,KRISTIANSUND,OYVAKT [NO],high speed
82,82,Arrival,2019-12-08 15:29,LEMONT,WILLIAM C [US],tug
83,83,Departure,2019-12-08 15:29,MILLINGEN AAN DE RIJN,OSTARA [NL],cargo
84,84,Arrival,2019-12-08 15:29,TERNEUZEN,WILLEM-LOURENS [NL],undefined
85,85,Arrival,2019-12-08 15:29,SANTORINI,BLUE STAR PATMOS [GR],passenger
86,86,Departure,2019-12-08 15:29,NEW YORK,HB 115 [US],passenger
87,87,Arrival,2019-12-08 15:29,FREEPORT (TX),CS ZEPHYR [US],tanker
88,88,Arrival,2019-12-08 15:29,NAPOLI,ISOLA DI PROCIDA [IT],passenger
89,89,Arrival,2019-12-08 15:29,HALSA,ROMSDAL [NO],passenger
90,90,Arrival,2019-12-08 15:29,HORTEN,BASTO VI [NO],passenger
91,91,Departure,2019-12-08 15:29,SUNOCO LOGISTICS,BUCCANEER [US],tug
92,92,Arrival,2019-12-08 15:29,TYNE,BOUNTIFUL BF79 [GB],fishing
93,93,Arrival,2019-12-08 15:29,BEAUMONT,KYLIE DUPRE [US],yacht
94,94,Departure,2019-12-08 15:29,BONNY,CATFLASH 4 [NG],undefined
95,95,Departure,2019-12-08 15:29,HALHJEM,LYSOY [NO],passenger
96,96,Departure,2019-12-08 15:29,RAMSGATE,ESTUARY ELITE [GB],tug
97,97,Departure,2019-12-08 15:29,FESTOYA,STORFJORD [NO],passenger
98,98,Departure,2019-12-08 15:29,CHANNAHON,CHANNAHON [US],tug
99,99,Arrival,2019-12-08 15:29,ROTTERDAM CENTRUM,MSTX 15 [NL],undefined
100,100,Departure,2019-12-08 15:29,KNAPPSKOG,FJELLGAR [NO],passenger
101,101,Departure,2019-12-08 15:29,SLUISKIL,PLUTO [NL],tanker
102,102,Departure,2019-12-08 15:29,BARREIRO,DAMIAO DE GOES [PT],high speed
103,103,Arrival,2019-12-08 15:29,BOKENAS,TELLUS [SE],passenger
104,104,Arrival,2019-12-08 15:29,SOUTHWORTH,WSF CATHLAMET [US],passenger
