,DeparturePort,DepartureTime,ArrivalPort,ArrivalTime,Vessel,VesselType
0,ROTTERDAM,2019-12-02 14:34,MAASVLAKTE - ROTTERDAM,2019-12-02 14:36,RVE11 [NL],undefined
1,AMSTERDAM,2019-12-02 15:02,ZAANDAM,2019-12-02 15:03,SALVOR 1 [NL],tug
2,HAMBURG,2019-12-02 14:33,HAMBURG,2019-12-02 14:50,TOLLERORT [DE],passenger
3,ROTTERDAM,2019-12-02 14:36,MAASVLAKTE - ROTTERDAM,2019-12-02 14:39,KRVE2 [NL],undefined
4,AMSTERDAM,2019-12-02 14:44,AMSTERDAM,2019-12-02 14:55,KP 17 [NL],undefined
5,ROTTERDAM WAALHAVEN,2019-12-02 14:59,ROTTERDAM PERNIS,2019-12-02 15:04,RPA11 [NL],undefined
6,ROTTERDAM WAALHAVEN,2019-12-02 14:33,ROTTERDAM,2019-12-02 15:08,KRVE 59 [NL],high speed
7,AMSTERDAM,2019-12-02 14:32,AMSTERDAM,2019-12-02 14:39,P 58 [NL],tug
8,AMSTERDAM,2019-12-02 14:42,AMSTERDAM,2019-12-02 15:05,ANNE FRANK [NL],passenger
9,MAASVLAKTE - ROTTERDAM,2019-12-02 14:59,ROTTERDAM,2019-12-02 15:01,KRVE 60 [NL],high speed
10,ROTTERDAM,2019-12-02 15:03,HOEK VAN HOLLAND,2019-12-02 15:06,KRVE 60 [NL],high speed
11,AMSTERDAM,2019-12-02 14:45,ZAANDAM,2019-12-02 14:47,AMAZONE [NL],tanker
12,HAMBURG,2019-12-02 14:48,HAMBURG,2019-12-02 15:05,ST. PAULI [DE],passenger
13,ZAANDAM,2019-12-02 14:33,AMSTERDAM,2019-12-02 14:34,PONT 6 [NL],passenger
14,AMSTERDAM,2019-12-02 14:43,ZAANDAM,2019-12-02 14:44,PONT 6 [NL],passenger
15,ZAANDAM,2019-12-02 14:53,AMSTERDAM,2019-12-02 14:53,PONT 6 [NL],passenger
16,AMSTERDAM,2019-12-02 15:04,ZAANDAM,2019-12-02 15:05,PONT 6 [NL],passenger
17,AMSTERDAM,2019-12-02 14:50,AMSTERDAM,2019-12-02 15:06,SVITZER AMSTEL [NL],tug
18,ROTTERDAM,2019-12-02 14:41,ROZENBURG,2019-12-02 15:04,VESPERTINE [NL],cargo
19,ROTTERDAM,2019-12-02 14:44,ROZENBURG,2019-12-02 15:06,PERFECT [NL],cargo
20,AMSTERDAM,2019-12-02 14:36,SCHELLINGWOUDE,2019-12-02 14:41,STEVEN1 [NL],undefined
21,HAMBURG,2019-12-02 14:42,HAMBURG,2019-12-02 14:56,FALKENSTEIN [DE],passenger
22,AMSTERDAM,2019-12-02 14:35,AMSTERDAM,2019-12-02 14:58,LYNX [NL],tug
