,Event,Time,Port,Vessel,VesselType
0,Departure,2019-12-08 15:31,AMSTERDAM,JAN VAN DER HEYDE 4 [NL],/icons/icon6_511.png
1,Arrival,2019-12-08 15:31,CALETA PUELCHE,DON BETO [CL],/icons/icon6_511.png
2,Arrival,2019-12-08 15:31,VAXHOLM,VAXO [SE],/icons/icon6_511.png
3,Arrival,2019-12-08 15:31,ROTTERDAM CENTRUM,PHW 1 [NL],/icons/icon6_511.png
4,Arrival,2019-12-08 15:31,RAS LAFFAN,NOR SPRING [QA],/icons/icon3_511.png
5,Arrival,2019-12-08 15:31,SLOVAG,MELDERSKIN [NO],/icons/icon6_511.png
6,Arrival,2019-12-08 15:31,FREEPORT (TX),LEXIE M [US],/icons/icon3_511.png
7,Arrival,2019-12-08 15:31,GOOD HOPE,CAPT. LANCE DRAGON [US],/icons/icon9_511.png
8,Arrival,2019-12-08 15:31,NEW ORLEANS,JOYCE MAXINE [US],/icons/icon3_511.png
9,Arrival,2019-12-08 15:31,TYNE,CHERRY SAND [GB],/icons/icon3_511.png
10,Arrival,2019-12-08 15:31,OSTERMOOR,FAEHRE STETTIN [DE],/icons/icon6_511.png
11,Arrival,2019-12-08 15:31,PATILLOS,IYO SEA [CL],/icons/icon7_511.png
12,Departure,2019-12-08 15:31,ROTTERDAM CENTRUM,MSTX 15 [NL],/icons/icon0_511.png
13,Departure,2019-12-08 15:31,ANDERSON ISLAND,CHRISTINE ANDERSON [US],/icons/icon6_511.png
14,Arrival,2019-12-08 15:31,ST PETERSBURG,BALTIC CARRIER [RU],/icons/icon7_511.png
15,Arrival,2019-12-08 15:31,QUIBERON,VINDILIS [FR],/icons/icon6_511.png
16,Arrival,2019-12-08 15:31,SHIJING,AO HE [CN],/icons/icon7_511.png
17,Departure,2019-12-08 15:31,FURUSUND,FRIDA [SE],/icons/icon6_511.png
18,Departure,2019-12-08 15:31,BRATTVAG,DRYNA [NO],/icons/icon6_511.png
19,Arrival,2019-12-08 15:31,BIRKENHEAD,SNOWDROP [GB],/icons/icon6_511.png
20,Arrival,2019-12-08 15:31,HALS,EGENSE [DK],/icons/icon6_511.png
21,Arrival,2019-12-08 15:31,KRIMPEN,VLIJ [NL],/icons/icon6_511.png
22,Arrival,2019-12-08 15:31,WEIL AM RHEIN,RHYSTAERN [DE],/icons/icon6_511.png
23,Departure,2019-12-08 15:31,BANJUL,KUNTA KINTEH [GM],/icons/icon6_511.png
24,Departure,2019-12-08 15:31,BRUNSBUETTEL,FAEHRE STETTIN [DE],/icons/icon6_511.png
25,Arrival,2019-12-08 15:31,MONDORF,WSP 8 [DE],/icons/icon0_511.png
26,Arrival,2019-12-08 15:31,ENGENES,SOLLIFJELL [NO],/icons/icon4_511.png
27,Arrival,2019-12-08 15:31,NASSIT,COASTAL ATLAS [SL],/icons/icon3_511.png
28,Departure,2019-12-08 15:31,PORTSMOUTH,ISLAND FLYER [GB],/icons/icon4_511.png
29,Arrival,2019-12-08 15:31,HAIKOU,HAI KOU 16 HAO [CN],/icons/icon6_511.png
30,Departure,2019-12-08 15:31,MEMPHIS,LUCY WEPFER [US],/icons/icon3_511.png
31,Departure,2019-12-08 15:31,WAALWIJK,BERGSCHE MAAS 12 [NL],/icons/icon6_511.png
32,Departure,2019-12-08 15:31,TROMSO,HAVBRYN [NO],/icons/icon0_511.png
33,Arrival,2019-12-08 15:31,BOTLEK - ROTTERDAM,PATRIJS [NL],/icons/icon7_511.png
34,Arrival,2019-12-08 15:31,PIRAEUS,CSCL STAR [GR],/icons/icon7_511.png
35,Arrival,2019-12-08 15:31,HUNTERS QUAY,SOUND OF SEIL [GB],/icons/icon6_511.png
36,Arrival,2019-12-08 15:31,ST LOUIS,TOM BEHRINGER [US],/icons/icon3_511.png
37,Departure,2019-12-08 15:31,PORT EVERGLADES,PILOT NO 7 [US],/icons/icon3_511.png
38,Departure,2019-12-08 15:31,MAASVLAKTE - ROTTERDAM,PALOMINO [NL],/icons/icon7_511.png
39,Departure,2019-12-08 15:31,HOUSTON,BRITISH RESOURCE [US],/icons/icon8_511.png
40,Arrival,2019-12-08 15:31,LE HAVRE,ATLANTIS ALDABRA00 [FR],/icons/icon8_511.png
41,Arrival,2019-12-08 15:31,DORDRECHT,DONATA [NL],/icons/icon7_511.png
42,Departure,2019-12-08 15:31,MERAK,KM.TITIAN MURNI [ID],/icons/icon6_511.png
43,Departure,2019-12-08 15:31,SINGAPORE,GOLDEN GRACE [SG],/icons/icon8_511.png
44,Departure,2019-12-08 15:31,LE HAVRE,LE HAVRE PILOT SC [FR],/icons/icon3_511.png
45,Arrival,2019-12-08 15:31,HALS,FN339 SOFIA [DK],/icons/icon10_511.png
46,Departure,2019-12-08 15:31,LE HAVRE,LAURA H [FR],/icons/icon8_511.png
47,Arrival,2019-12-08 15:30,KIEL,LISA [DE],/icons/icon7_511.png
48,Arrival,2019-12-08 15:30,ROTTERDAM,VALBURG [NL],/icons/icon8_511.png
49,Arrival,2019-12-08 15:30,NIEHL,LEVANA [DE],/icons/icon9_511.png
50,Arrival,2019-12-08 15:30,CUMBRAE SLIP,LOCH SHIRA [GB],/icons/icon6_511.png
51,Arrival,2019-12-08 15:30,DELAWARE CITY,SEADELTA [US],/icons/icon8_511.png
52,Departure,2019-12-08 15:30,VILLA SAN GIOVANNI,STRETTO MESSINA [IT],/icons/icon6_511.png
53,Arrival,2019-12-08 15:30,BOSTON,NANCY [US],/icons/icon6_511.png
54,Arrival,2019-12-08 15:30,FUJAIRAH,EASTERN VETRI [AE],/icons/icon3_511.png
55,Arrival,2019-12-08 15:30,DELFSHAVEN,AQUA SHUTTLE [NL],/icons/icon6_511.png
56,Departure,2019-12-08 15:30,HORTEN,VEDEROY [NO],/icons/icon6_511.png
57,Arrival,2019-12-08 15:30,CAPE TOWN,SERENITY ONE [ZA],/icons/icon6_511.png
58,Departure,2019-12-08 15:30,HELSINKI,SUOMENLINNA II [FI],/icons/icon6_511.png
59,Arrival,2019-12-08 15:30,PARKHAVEN,MSTX 14 [NL],/icons/icon4_511.png
60,Arrival,2019-12-08 15:30,ROSEAU,SUNNYDAY [DM],/icons/icon4_511.png
61,Arrival,2019-12-08 15:30,KILBOGHAMN,RODOY [NO],/icons/icon6_511.png
62,Arrival,2019-12-08 15:30,KOELN,LORELEY [DE],/icons/icon6_511.png
63,Departure,2019-12-08 15:30,PROCIDA ,NAIADE [IT],/icons/icon6_511.png
64,Arrival,2019-12-08 15:30,MERAK,SMS MULAWARMAN [ID],/icons/icon6_511.png
65,Arrival,2019-12-08 15:30,GLADSTONE,SL QUOIN ISLAND [AU],/icons/icon3_511.png
66,Departure,2019-12-08 15:30,KREFELD,VOLANTIS [DE],/icons/icon8_511.png
67,Departure,2019-12-08 15:30,TREMESTIERI,ZANCLE [IT],/icons/icon6_511.png
68,Departure,2019-12-08 15:30,BONNY,SMIT DIARE [NG],/icons/icon3_511.png
69,Departure,2019-12-08 15:30,ISLA MUJERES,ULTRACARGA III A [MX],/icons/icon7_511.png
70,Arrival,2019-12-08 15:30,KNIPPLA,ULRIKA [SE],/icons/icon6_511.png
71,Departure,2019-12-08 15:30,SINGAPORE,STK2 [SG],/icons/icon9_511.png
72,Arrival,2019-12-08 15:30,EMDEN,KEY BORA [DE],/icons/icon8_511.png
73,Arrival,2019-12-08 15:30,WANSSUM,BALANCE [NL],/icons/icon7_511.png
74,Departure,2019-12-08 15:30,MANNHEIM,TILL [DE],/icons/icon8_511.png
