,DeparturePort,DepartureTime,ArrivalPort,ArrivalTime,Vessel,VesselType
0,ANTWERP,2019-12-08 15:23,HEMIKSEM,2019-12-08 15:25,SMYLTINE [BE],passenger
1,KOLHATTAN,2019-12-08 15:20,SVANESUND,2019-12-08 15:22,SVANHILD [SE],passenger
2,MONGSTAD ,2019-12-08 15:21,SLOVAG,2019-12-08 15:31,MELDERSKIN [NO],passenger
3,PETIT COURONNE,2019-12-08 15:21,VAL-DE-LA-HAYE,2019-12-08 15:21,BAC 18 [FR],undefined
4,ROTTERDAM CENTRUM,2019-12-08 15:21,ROTTERDAM CENTRUM,2019-12-08 15:23,MSTX 15 [NL],undefined
5,ROTTERDAM CENTRUM,2019-12-08 15:27,ROTTERDAM CENTRUM,2019-12-08 15:29,MSTX 15 [NL],undefined
6,LA BOUILLE,2019-12-08 15:24,LA BOUILLE,2019-12-08 15:28,BAC 20 [FR],passenger
7,LISBOA,2019-12-08 15:23,ALMADA,2019-12-08 15:27,CAMPOLIDE [PT],passenger
8,HJELMELAND,2019-12-08 15:21,NESVIK,2019-12-08 15:27,HARDINGEN [NO],passenger
9,HALS,2019-12-08 15:20,HALS,2019-12-08 15:31,EGENSE [DK],passenger
10,ROTTERDAM WAALHAVEN,2019-12-08 15:23,SCHIEDAM,2019-12-08 15:25,MSTX 9 [NL],high speed
11,GELKENES,2019-12-08 15:27,SCHOONHOVEN,2019-12-08 15:27,ZILVERSTAD [NL],passenger
12,AMSTERDAM,2019-12-08 15:23,ZAANDAM,2019-12-08 15:25,PONT 6 [NL],passenger
13,PERAMA,2019-12-08 15:20,SALAMINA,2019-12-08 15:24,PARALOS [GR],passenger
14,GEITANGER,2019-12-08 15:22,KNAPPSKOG,2019-12-08 15:25,FJELLGAR [NO],passenger
15,NORDENHAM,2019-12-08 15:26,BREMERHAVEN,2019-12-08 15:29,BREMERHAVEN [DE],passenger
16,ROZENBURG,2019-12-08 15:26,MAASSLUIS,2019-12-08 15:27,BLANKENBURG [NL],passenger
17,SALAMINA,2019-12-08 15:24,PERAMA,2019-12-08 15:27,IOANNIS-SOPHIA K [GR],passenger
18,ROTTERDAM WAALHAVEN,2019-12-08 15:23,DELFSHAVEN,2019-12-08 15:30,AQUA SHUTTLE [NL],passenger
19,PORTSMOUTH,2019-12-08 15:26,GOSPORT,2019-12-08 15:27,SPIRIT OF PORTSMOUTH [GB],passenger
20,VASHON ISLAND,2019-12-08 15:20,SOUTHWORTH,2019-12-08 15:29,WSF CATHLAMET [US],passenger
21,SAGUNTO,2019-12-08 15:24,SAGUNTO,2019-12-08 15:28,VB SONADOR [ES],tug
22,BRUNSBUETTEL,2019-12-08 15:31,OSTERMOOR,2019-12-08 15:31,FAEHRE STETTIN [DE],passenger
23,DELFSHAVEN,2019-12-08 15:23,ROTTERDAM CENTRUM,2019-12-08 15:26,MSTX 14 [NL],high speed
24,ROTTERDAM CENTRUM,2019-12-08 15:29,PARKHAVEN,2019-12-08 15:30,MSTX 14 [NL],high speed
25,BIRKENHEAD,2019-12-08 15:23,BIRKENHEAD,2019-12-08 15:31,SNOWDROP [GB],passenger
26,AMSTERDAM,2019-12-08 15:26,ZAANDAM,2019-12-08 15:26,ELLY GLASIUS [NL],passenger
27,KRIMPEN,2019-12-08 15:23,RIDDERKERK,2019-12-08 15:28,SCHIE [NL],passenger
28,PAPENDRECHT,2019-12-08 15:26,DORDRECHT,2019-12-08 15:27,AQUA RUNNER [NL],passenger
29,RIDDERKERK,2019-12-08 15:28,KRIMPEN,2019-12-08 15:31,VLIJ [NL],passenger
30,ROTTERDAM WAALHAVEN,2019-12-08 15:22,DELFSHAVEN,2019-12-08 15:26,CHRISTINA [NL],passenger
